Subject	Predicate	Object
Polycystic ovary syndrome	source	baidubaike
Polycystic ovary syndrome	belongTo	disease
Renal abscess	belongTo	symptom
Renal abscess	belongTo	disease
Renal abscess	source	baidubaike
Suppurative parotitis	belongTo	symptom
Suppurative parotitis	belongTo	disease
Suppurative parotitis	clinic department	Infectious disease department
Suppurative parotitis	source	baidubaike
Suppurative parotitis	clinic department	Department of ENT
uremia	medical college	Internal medicine
uremia	source	baidubaike
uremia	source	medicalbaike
uremia	source	hudongbaike
uremia	source	WikiPedia
uremia	belongTo	disease
Primary breast lymphoma	source	baidubaike
Primary breast lymphoma	belongTo	disease
Primary breast lymphoma	medical college	oncology department
Anterior uveitis	source	baidubaike
Anterior uveitis	medical college	Ophthalmology Department
Anterior uveitis	belongTo	disease
Goiter	belongTo	symptom
Goiter	clinic department	Internal medicine
Goiter	belongTo	disease
Goiter	source	baidubaike
Allergic dermatitis	name	Contact dermatitis
Allergic dermatitis	source	medicalbaike
Allergic dermatitis	belongTo	symptom
Allergic dermatitis	source	baidubaike
Allergic dermatitis	source	hudongbaike
Allergic dermatitis	belongTo	disease
Allergic dermatitis	source	WikiPedia
Allergic dermatitis	clinic department	The skin Department
Allergic dermatitis	clinic department	Dermatology & STD Department
Prolapse of uterus	source	medicalbaike
Prolapse of uterus	source	WikiPedia
Prolapse of uterus	source	hudongbaike
Prolapse of uterus	source	baidubaike
Prolapse of uterus	medical college	Obstetrics and Gynecology Department
Prolapse of uterus	belongTo	disease
Prolapse of uterus	medical college	Gynaecology
carotid artery stenosis 	source	baidubaike
carotid artery stenosis 	belongTo	disease
hepatic encephalopathy	belongTo	disease
hepatic encephalopathy	source	baidubaike
Sexual apathy	belongTo	disease
Sexual apathy	medical college	Psycho Department
Sexual apathy	source	baidubaike
Paralytic dementia	belongTo	disease
Paralytic dementia	source	baidubaike
Paralytic dementia	medical college	Internal medicine
Deficiency of Qi and blood	common cause	Hypoimmunity
Deficiency of Qi and blood	source	baidubaike
Deficiency of Qi and blood	source	hudongbaike
Deficiency of Qi and blood	source	WikiPedia
Deficiency of Qi and blood	source	medicalbaike
Deficiency of Qi and blood	belongTo	disease
Infantile steaming	medical college	Pediatrics
Infantile steaming	name	Steaming
Infantile steaming	belongTo	disease
Infantile steaming	source	baidubaike
Regulations of Baotou City on the prevention and control of infectious diseases	belongTo	disease
Regulations of Baotou City on the prevention and control of infectious diseases	source	baidubaike
Latent syphilis	medical college	The skin Department
Latent syphilis	source	baidubaike
Latent syphilis	belongTo	disease
Latent syphilis	name	Latent syphilis
Swine vesicular disease	source	baidubaike
Swine vesicular disease	source	WikiPedia
Swine vesicular disease	source	medicalbaike
Swine vesicular disease	belongTo	disease
Swine vesicular disease	source	hudongbaike
Vascular headache	belongTo	disease
Vascular headache	source	baidubaike
Vascular headache	medical college	Neurology
Fatty diarrhea	medical college	Traditional Chinese Medicine Department
Fatty diarrhea	source	baidubaike
Fatty diarrhea	belongTo	disease
Congenital nephrotic syndrome	belongTo	disease
Congenital nephrotic syndrome	medical college	Nephrology
Congenital nephrotic syndrome	source	baidubaike
Clonorchiasis	source	baidubaike
Clonorchiasis	name	Clonorchiasis
Clonorchiasis	medical college	Infectious Disease Department
Clonorchiasis	belongTo	disease
Clonorchiasis	source	WikiPedia
Clonorchiasis	source	medicalbaike
Clonorchiasis	medical college	Internal medicine
Clonorchiasis	source	hudongbaike
Non small cell lung cancer	belongTo	disease
Non small cell lung cancer	medical college	oncology department
Non small cell lung cancer	source	baidubaike
suprapubic cystostomy	source	baidubaike
suprapubic cystostomy	belongTo	disease
Juvenile rheumatoid arthritis	source	baidubaike
Juvenile rheumatoid arthritis	belongTo	disease
Lumbar dislocation	medical college	Surgery
Lumbar dislocation	source	hudongbaike
Lumbar dislocation	medical college	orthopedics
Lumbar dislocation	name	lumbar disc protrusion
Lumbar dislocation	source	baidubaike
Lumbar dislocation	source	WikiPedia
Lumbar dislocation	belongTo	disease
Lumbar dislocation	source	medicalbaike
Happy puppet syndrome	source	baidubaike
Happy puppet syndrome	belongTo	disease
Pseudohypoparathyroidism	belongTo	disease
Pseudohypoparathyroidism	source	baidubaike
Pseudohypoparathyroidism	medical college	Endocrine Department
insulin resistance 	medical college	Endocrine Department
insulin resistance 	source	baidubaike
insulin resistance 	belongTo	disease
Cervical polyp	medical college	Gynaecology
Cervical polyp	belongTo	disease
Cervical polyp	source	baidubaike
pulmonary nocardiosis 	belongTo	disease
pulmonary nocardiosis 	source	baidubaike
pulmonary nocardiosis 	source	hudongbaike
pulmonary nocardiosis 	medical college	Internal medicine
pulmonary nocardiosis 	source	medicalbaike
pulmonary nocardiosis 	source	WikiPedia
Acute pulpitis	source	baidubaike
Acute pulpitis	source	hudongbaike
Acute pulpitis	belongTo	disease
Acute pulpitis	source	medicalbaike
Acute pulpitis	source	WikiPedia
Reactive arthritis	source	baidubaike
Reactive arthritis	medical college	Rheumatology immunology
Reactive arthritis	belongTo	disease
Hypoglycemia	medical college	Internal medicine
Hypoglycemia	source	medicalbaike
Hypoglycemia	source	baidubaike
Hypoglycemia	medical college	Endocrine Department
Hypoglycemia	belongTo	disease
Hypoglycemia	source	WikiPedia
Hypoglycemia	source	hudongbaike
Congestive heart failure	belongTo	disease
Congestive heart failure	source	baidubaike
Congestive heart failure	medical college	Internal Medicine-Cardiovascular Department
Human infection with highly pathogenic avian influenza	medical college	Infectious Disease Department
Human infection with highly pathogenic avian influenza	belongTo	disease
Human infection with highly pathogenic avian influenza	source	WikiPedia
Human infection with highly pathogenic avian influenza	medical college	Infectious disease department
Human infection with highly pathogenic avian influenza	source	baidubaike
Human infection with highly pathogenic avian influenza	pathogenic types	Avian influenza virus
Human infection with highly pathogenic avian influenza	source	hudongbaike
Human infection with highly pathogenic avian influenza	source	medicalbaike
Gradual freeze	belongTo	disease
Gradual freeze	source	baidubaike
Accessory cholera	belongTo	disease
Accessory cholera	source	baidubaike
Angioreticuloma	source	baidubaike
Angioreticuloma	belongTo	disease
Budd Chiari syndrome	source	baidubaike
Budd Chiari syndrome	belongTo	disease
Budd Chiari syndrome	medical college	GI Medicine
Hypochondria	source	hudongbaike
Hypochondria	source	WikiPedia
Hypochondria	source	baidubaike
Hypochondria	belongTo	disease
Hypochondria	medical college	Psychiatry Department
Hypochondria	source	medicalbaike
hemorrhoids	belongTo	disease
hemorrhoids	source	baidubaike
hemorrhoids	source	medicalbaike
hemorrhoids	source	WikiPedia
hemorrhoids	medical college	Surgery
hemorrhoids	source	hudongbaike
Lip coke	source	baidubaike
Lip coke	belongTo	disease
Gastric fluid regurgitation	source	baidubaike
Gastric fluid regurgitation	belongTo	disease
Hypoglycemia	source	baidubaike
Hypoglycemia	belongTo	symptom
Hypoglycemia	nickname	Hypoglycemia
Hypoglycemia	source	medicalbaike
Hypoglycemia	clinic department	Internal medicine
Hypoglycemia	source	hudongbaike
Hypoglycemia	source	WikiPedia
Hypoglycemia	belongTo	disease
Hypoglycemia	clinic department	Endocrine Department
Anal polyp	source	baidubaike
Anal polyp	belongTo	disease
HELLP syndrome	source	baidubaike
HELLP syndrome	medical college	Obstetrics and Gynecology Department
HELLP syndrome	belongTo	disease
Acute suppurative tenosynovitis	belongTo	disease
Acute suppurative tenosynovitis	medical college	Infectious Disease Department
Acute suppurative tenosynovitis	source	baidubaike
Potato early blight	source	baidubaike
Potato early blight	belongTo	disease
Kitten's syndrome in children	belongTo	disease
Kitten's syndrome in children	medical college	Pediatrics
Kitten's syndrome in children	source	baidubaike
Earwax embolism	belongTo	disease
Earwax embolism	source	baidubaike
Nephrotoxicity	source	hudongbaike
Nephrotoxicity	source	baidubaike
Nephrotoxicity	source	WikiPedia
Nephrotoxicity	medical college	Internal medicine
Nephrotoxicity	belongTo	disease
Nephrotoxicity	source	medicalbaike
Hypertension	source	baidubaike
Hypertension	clinic department	Internal medicine
Hypertension	belongTo	symptom
Hypertension	belongTo	disease
Hypertension	clinic department	Internal Medicine-Cardiovascular Department
Membranous glomerulonephritis	source	baidubaike
Membranous glomerulonephritis	belongTo	disease
Membranous glomerulonephritis	medical college	Nephrology
Diabetic cataract	source	medicalbaike
Diabetic cataract	source	hudongbaike
Diabetic cataract	source	WikiPedia
Diabetic cataract	source	baidubaike
Diabetic cataract	belongTo	disease
Ehrlichia	source	medicalbaike
Ehrlichia	medical college	Infectious disease department
Ehrlichia	source	WikiPedia
Ehrlichia	source	baidubaike
Ehrlichia	source	hudongbaike
Ehrlichia	belongTo	disease
acute myocardial infarction 	medical college	Internal medicine
acute myocardial infarction 	belongTo	disease
acute myocardial infarction 	source	WikiPedia
acute myocardial infarction 	source	medicalbaike
acute myocardial infarction 	clinical_manifestations	Retrosternal pain
acute myocardial infarction 	name	acute myocardial infarction
acute myocardial infarction 	source	hudongbaike
acute myocardial infarction 	medical college	Internal Medicine-Cardiovascular Department
acute myocardial infarction 	source	baidubaike
Reduction of mandibular joint	belongTo	disease
Reduction of mandibular joint	source	baidubaike
Blood essence	source	baidubaike
Blood essence	belongTo	disease
Blood essence	belongTo	symptom
Acute infectious polyradiculitis	belongTo	disease
Acute infectious polyradiculitis	source	baidubaike
Non Salmonella typhi infection	source	baidubaike
Non Salmonella typhi infection	medical college	Pediatrics
Non Salmonella typhi infection	belongTo	disease
Marfan's syndrome	belongTo	disease
Marfan's syndrome	source	baidubaike
Marfan's syndrome	source	medicalbaike
Marfan's syndrome	medical college	Internal medicine
Marfan's syndrome	medical college	Cardiovascular surgery
Marfan's syndrome	source	WikiPedia
Marfan's syndrome	name	Marfan syndrome
Marfan's syndrome	source	hudongbaike
Fire malnutrition	source	baidubaike
Fire malnutrition	belongTo	disease
Irritable bowel syndrome	clinic department	Internal medicine
Irritable bowel syndrome	belongTo	symptom
Irritable bowel syndrome	belongTo	disease
Irritable bowel syndrome	clinic department	GI Medicine
Irritable bowel syndrome	source	baidubaike
Concussion (caused by external force on the head)	medical college	neurosurgeons
Concussion (caused by external force on the head)	belongTo	disease
Concussion (caused by external force on the head)	source	baidubaike
Sickle cell anemia	medical college	Internal medicine
Sickle cell anemia	source	hudongbaike
Sickle cell anemia	source	baidubaike
Sickle cell anemia	source	WikiPedia
Sickle cell anemia	belongTo	disease
Sickle cell anemia	source	medicalbaike
Diarrhea through channels	belongTo	disease
Diarrhea through channels	source	baidubaike
Adenomyosis of uterus	source	baidubaike
Adenomyosis of uterus	belongTo	disease
Adenomyosis of uterus	medical college	Gynaecology
Nourishing yin and reducing fire	source	baidubaike
Nourishing yin and reducing fire	belongTo	disease
Skin scratch	source	medicalbaike
Skin scratch	source	baidubaike
Skin scratch	belongTo	disease
Skin scratch	source	hudongbaike
Skin scratch	source	WikiPedia
Eastern equine encephalitis	name	Eastern equine encephalitis 
Eastern equine encephalitis	medical college	Internal medicine
Eastern equine encephalitis	source	WikiPedia
Eastern equine encephalitis	source	medicalbaike
Eastern equine encephalitis	belongTo	disease
Eastern equine encephalitis	source	hudongbaike
Eastern equine encephalitis	source	baidubaike
Senile root caries	source	medicalbaike
Senile root caries	source	WikiPedia
Senile root caries	belongTo	disease
Senile root caries	source	baidubaike
Senile root caries	source	hudongbaike
aphasia	medical college	Neurology
aphasia	belongTo	disease
aphasia	source	baidubaike
Vomit	belongTo	disease
Vomit	source	baidubaike
Maladjustment	source	baidubaike
Maladjustment	belongTo	disease
Nonspecific vaginitis	source	baidubaike
Nonspecific vaginitis	medical college	Gynaecology
Nonspecific vaginitis	belongTo	disease
Sarcoidosis in children	belongTo	disease
Sarcoidosis in children	source	baidubaike
urinary tract infection 	clinic department	Urology Surgery
urinary tract infection 	belongTo	disease
urinary tract infection 	belongTo	symptom
urinary tract infection 	source	baidubaike
urinary tract infection 	clinic department	Internal medicine
Helicobacter pylori disease	source	baidubaike
Helicobacter pylori disease	belongTo	disease
Tracheitis	source	baidubaike
Tracheitis	medical college	Department of respiration
Tracheitis	belongTo	disease
Esophageal atresia	belongTo	symptom
Esophageal atresia	clinic department	Pediatrics
Esophageal atresia	belongTo	disease
Esophageal atresia	source	baidubaike
Hypochondriac pain	medical college	General surgery
Hypochondriac pain	source	baidubaike
Hypochondriac pain	belongTo	disease
Tic Disorder 	name	Tic disorder
Tic Disorder 	medical college	Pediatrics
Tic Disorder 	source	baidubaike
Tic Disorder 	belongTo	disease
Chronic hepatitis B	source	baidubaike
Chronic hepatitis B	belongTo	disease
Chronic hepatitis B	medical college	Infectious Disease Department
Scleredema neonatorum	medical college	Pediatrics
Scleredema neonatorum	source	baidubaike
Scleredema neonatorum	belongTo	disease
Fear of human disease	source	hudongbaike
Fear of human disease	source	WikiPedia
Fear of human disease	source	baidubaike
Fear of human disease	source	medicalbaike
Fear of human disease	belongTo	disease
Cerebral palsy syndrome	medical college	Internal Medicine-Neurology
Cerebral palsy syndrome	source	baidubaike
Cerebral palsy syndrome	belongTo	disease
High ammonia	clinic department	Endocrine Department
High ammonia	belongTo	symptom
High ammonia	source	baidubaike
High ammonia	belongTo	disease
High ammonia	clinic department	Internal medicine
Cervical spondylopathy	belongTo	disease
Cervical spondylopathy	medical college	orthopedics
Cervical spondylopathy	source	baidubaike
Coronary spasm	source	baidubaike
Coronary spasm	belongTo	symptom
Coronary spasm	clinic department	Internal medicine
Coronary spasm	belongTo	disease
Overlap syndrome	belongTo	disease
Overlap syndrome	source	baidubaike
Overlap syndrome	medical college	Rheumatology immunology
Kissing disease	name	Infectious mononucleosis
Kissing disease	medical college	Pediatrics
Kissing disease	source	baidubaike
Kissing disease	source	WikiPedia
Kissing disease	source	hudongbaike
Kissing disease	belongTo	disease
Kissing disease	source	medicalbaike
paranoid personality disorder 	medical college	Psycho Department
paranoid personality disorder 	belongTo	disease
paranoid personality disorder 	source	baidubaike
Autosomal inheritance	belongTo	disease
Autosomal inheritance	source	baidubaike
Sickle cell anemia	belongTo	disease
Sickle cell anemia	source	baidubaike
Hepatorenal syndrome	source	baidubaike
Hepatorenal syndrome	belongTo	disease
Hepatorenal syndrome	clinic department	Internal medicine
Hepatorenal syndrome	belongTo	symptom
jaundice of the newborn	belongTo	disease
jaundice of the newborn	source	baidubaike
etiology	source	baidubaike
etiology	belongTo	disease
Athetosis of hands and feet	clinical_manifestations	Involuntary movement
Athetosis of hands and feet	belongTo	disease
Athetosis of hands and feet	source	baidubaike
Athetosis of hands and feet	medical college	Internal Medicine-Neurology
Posterior uterine tilt	belongTo	disease
Posterior uterine tilt	medical college	Obstetrics and Gynecology Department
Posterior uterine tilt	source	hudongbaike
Posterior uterine tilt	source	baidubaike
Posterior uterine tilt	source	WikiPedia
Posterior uterine tilt	source	medicalbaike
Ankylosis	belongTo	symptom
Ankylosis	source	baidubaike
Ankylosis	source	medicalbaike
Ankylosis	clinic department	Surgery
Ankylosis	clinic department	orthopedics
Ankylosis	source	WikiPedia
Ankylosis	source	hudongbaike
Ankylosis	belongTo	disease
Carbuncle	belongTo	disease
Carbuncle	source	baidubaike
Carbuncle	medical college	The skin Department
Vasculitis	belongTo	disease
Vasculitis	medical college	Vascular surgery
Vasculitis	source	baidubaike
Mono disease	source	baidubaike
Mono disease	source	hudongbaike
Mono disease	source	medicalbaike
Mono disease	source	WikiPedia
Mono disease	belongTo	disease
Amnesia syndrome	medical college	Psycho Department
Amnesia syndrome	source	baidubaike
Amnesia syndrome	belongTo	disease
Cold fibrinogenemia	source	WikiPedia
Cold fibrinogenemia	source	medicalbaike
Cold fibrinogenemia	source	hudongbaike
Cold fibrinogenemia	source	baidubaike
Cold fibrinogenemia	belongTo	disease
Cold fibrinogenemia	medical college	Dermatology & STD Department
Refractory anemia	source	baidubaike
Refractory anemia	medical college	Hematology
Refractory anemia	belongTo	disease
Refractory anemia	clinical_manifestations	anemia
Uterine polyps	source	baidubaike
Uterine polyps	medical college	Gynaecology
Uterine polyps	belongTo	disease
Pulmonary eosinophilia	source	baidubaike
Pulmonary eosinophilia	belongTo	disease
Pulmonary eosinophilia	medical college	Respiratory Medicine
Pituitary apoplexy	source	baidubaike
Pituitary apoplexy	medical college	Internal Medicine-Neurology
Pituitary apoplexy	belongTo	disease
Pockmark	source	baidubaike
Pockmark	belongTo	disease
Cerebellar atrophy	belongTo	disease
Cerebellar atrophy	source	baidubaike
Cerebellar atrophy	medical college	Neurology
Vascular murmur	medical college	Internal Medicine-Cardiovascular Department
Vascular murmur	source	baidubaike
Vascular murmur	belongTo	disease
Pharyngeal tuberculosis	belongTo	disease
Pharyngeal tuberculosis	medical college	Department of ENT
Pharyngeal tuberculosis	source	baidubaike
Anthony plague	belongTo	disease
Anthony plague	source	baidubaike
Swine lung disease	source	WikiPedia
Swine lung disease	belongTo	disease
Swine lung disease	source	baidubaike
Swine lung disease	source	hudongbaike
Swine lung disease	source	medicalbaike
Bile duct stone	source	baidubaike
Bile duct stone	belongTo	disease
Multiple organ dysfunction syndrome	belongTo	disease
Multiple organ dysfunction syndrome	source	baidubaike
Multiple organ dysfunction syndrome	medical college	Infectious Disease Department
SARS	source	hudongbaike
SARS	source	baidubaike
SARS	name	Severe acute respiratory syndrome
SARS	medical college	Infectious Disease Department
SARS	belongTo	disease
SARS	source	WikiPedia
SARS	medical college	Infectious disease department
SARS	source	medicalbaike
Desalting nephritis	medical college	Nephrology
Desalting nephritis	source	baidubaike
Desalting nephritis	belongTo	disease
Sub-health	source	baidubaike
Sub-health	belongTo	disease
Sub-health	medical college	Internal medicine
Cerebral arteriosclerosis	source	baidubaike
Cerebral arteriosclerosis	belongTo	disease
Cerebral arteriosclerosis	medical college	Neurology
Shy urine	source	medicalbaike
Shy urine	belongTo	disease
Shy urine	source	hudongbaike
Shy urine	source	baidubaike
Shy urine	source	WikiPedia
Close contacts	belongTo	disease
Close contacts	source	baidubaike
Primary biliary cirrhosis	belongTo	disease
Primary biliary cirrhosis	source	baidubaike
Primary biliary cirrhosis	medical college	GI Medicine
Renal failure (medical disease)	medical college	Nephrology
Renal failure (medical disease)	source	baidubaike
Renal failure (medical disease)	common cause	Acute tubular necrosis
Renal failure (medical disease)	belongTo	disease
Feeble love	source	WikiPedia
Feeble love	belongTo	disease
Feeble love	source	baidubaike
Feeble love	source	medicalbaike
Feeble love	source	hudongbaike
Spring temperature	source	baidubaike
Spring temperature	belongTo	disease
Furuncle	belongTo	disease
Furuncle	source	baidubaike
Furuncle	medical college	Surgery
Black urine	source	baidubaike
Black urine	belongTo	disease
Black urine	source	WikiPedia
Black urine	source	medicalbaike
Black urine	source	hudongbaike
Black urine	medical college	Internal medicine
Bowleg	belongTo	disease
Bowleg	source	baidubaike
Bowleg	clinical_manifestations	Varus genu
Heel pain	clinic department	orthopedics
Heel pain	belongTo	disease
Heel pain	belongTo	symptom
Heel pain	source	baidubaike
Heel pain	clinic department	Surgery
Brain paragonimiasis	source	baidubaike
Brain paragonimiasis	belongTo	disease
Brain paragonimiasis	medical college	Internal Medicine-Neurology
Clonorchiasis	source	baidubaike
Clonorchiasis	belongTo	disease
Clonorchiasis	medical college	Infectious Disease Department
Toxic diffuse goiter	belongTo	disease
Toxic diffuse goiter	medical college	Endocrine Department
Toxic diffuse goiter	source	baidubaike
Insomnia obsessive compulsive disorder	medical college	Psychiatry Department
Insomnia obsessive compulsive disorder	common cause	insomnia
Insomnia obsessive compulsive disorder	source	baidubaike
Insomnia obsessive compulsive disorder	belongTo	disease
Distal ileal diverticulum	belongTo	disease
Distal ileal diverticulum	source	baidubaike
Distal ileal diverticulum	source	hudongbaike
Distal ileal diverticulum	source	medicalbaike
Distal ileal diverticulum	source	WikiPedia
Hyponatremia	belongTo	disease
Hyponatremia	clinic department	Internal medicine
Hyponatremia	belongTo	symptom
Hyponatremia	source	baidubaike
Multiple sclerosis	source	WikiPedia
Multiple sclerosis	medical college	Traditional Chinese Medicine Department
Multiple sclerosis	source	medicalbaike
Multiple sclerosis	source	baidubaike
Multiple sclerosis	belongTo	disease
Multiple sclerosis	source	hudongbaike
Coating	source	baidubaike
Coating	belongTo	disease
Arrhythmia in children	medical college	Pediatrics
Arrhythmia in children	belongTo	disease
Arrhythmia in children	source	baidubaike
Vertebrobasilar insufficiency	source	baidubaike
Vertebrobasilar insufficiency	belongTo	disease
Vertebrobasilar insufficiency	medical college	Neurology
Rheumatoid arthritis	name	Rheumatoid arthritis
Rheumatoid arthritis	belongTo	disease
Rheumatoid arthritis	source	baidubaike
Fatty liver	belongTo	symptom
Fatty liver	clinic department	Internal medicine
Fatty liver	source	baidubaike
Fatty liver	belongTo	disease
Acute liver failure	medical college	GI Medicine
Acute liver failure	source	baidubaike
Acute liver failure	belongTo	disease
Tendon adhesion	belongTo	disease
Tendon adhesion	source	baidubaike
Tendon adhesion	medical college	orthopedics
sciatica	source	baidubaike
sciatica	belongTo	symptom
sciatica	cause	lumbar disc protrusion
sciatica	clinic department	orthopedics
sciatica	clinic department	Surgery
sciatica	belongTo	disease
Syphilid of skin	belongTo	disease
Syphilid of skin	source	baidubaike
Mumps	source	baidubaike
Mumps	belongTo	disease
Arterial thrombosis	belongTo	disease
Arterial thrombosis	source	baidubaike
Obsession	medical college	Psychiatry Department
Obsession	belongTo	disease
Obsession	belongTo	symptom
Obsession	source	baidubaike
familial polyposis coli 	belongTo	disease
familial polyposis coli 	source	baidubaike
familial polyposis coli 	medical college	Surgery
Prion disease	belongTo	disease
Prion disease	source	baidubaike
Autism in children	source	baidubaike
Autism in children	belongTo	disease
Parkinson's disease	belongTo	disease
Parkinson's disease	source	baidubaike
Parkinson's disease	medical college	Neurology
sarcoidosis	belongTo	disease
sarcoidosis	source	baidubaike
sarcoidosis	medical college	Respiratory Medicine
Pulmonary encephalopathy	source	baidubaike
Pulmonary encephalopathy	belongTo	disease
Pulmonary encephalopathy	medical college	Department of respiration
Salmonellosis	belongTo	disease
Salmonellosis	source	hudongbaike
Salmonellosis	source	WikiPedia
Salmonellosis	source	baidubaike
Salmonellosis	source	medicalbaike
Gall tumor	source	baidubaike
Gall tumor	belongTo	disease
Gall tumor	medical college	Department of ENT
Gall tumor	name	Thyroid tumor
Full moon face	belongTo	disease
Full moon face	source	baidubaike
Full moon face	clinic department	Endocrine Department
Full moon face	belongTo	symptom
tuberculosis	common cause	Mycobacterium tuberculosis
tuberculosis	medical college	Infectious disease department
tuberculosis	belongTo	disease
tuberculosis	source	baidubaike
Growth retardation	medical college	Pediatrics
Growth retardation	belongTo	disease
Growth retardation	source	baidubaike
Fascial compartment syndrome	belongTo	disease
Fascial compartment syndrome	source	baidubaike
Fascial compartment syndrome	medical college	orthopedics
Developmental dysplasia of hip	belongTo	disease
Developmental dysplasia of hip	source	baidubaike
Pancreatitis	medical college	GI Medicine
Pancreatitis	belongTo	disease
Pancreatitis	source	baidubaike
Prostatic diseases	belongTo	disease
Prostatic diseases	medical college	Urology Surgery
Prostatic diseases	source	baidubaike
Mitral valve prolapse	source	baidubaike
Mitral valve prolapse	belongTo	disease
Mitral valve prolapse	clinic department	Internal medicine
Mitral valve prolapse	belongTo	symptom
Cardiogenic asthma	source	baidubaike
Cardiogenic asthma	belongTo	disease
Cardiogenic asthma	medical college	Respiratory Medicine
Kirschner's syndrome	source	baidubaike
Kirschner's syndrome	belongTo	disease
Kirschner's syndrome	common cause	Congenital diseases
Primary thrombocytosis	source	baidubaike
Primary thrombocytosis	belongTo	disease
Primary thrombocytosis	medical college	blood specialty
Benign tumor of lung	medical college	Thoracic Surgery
Benign tumor of lung	source	baidubaike
Benign tumor of lung	belongTo	disease
Hair treatment	source	baidubaike
Hair treatment	belongTo	disease
bronchiectasia	medical college	Department of respiration
bronchiectasia	belongTo	disease
bronchiectasia	source	baidubaike
Hyperglycemia	belongTo	disease
Hyperglycemia	medical college	Endocrine Department
Hyperglycemia	source	baidubaike
Prostatitis	belongTo	disease
Prostatitis	medical college	Urology Surgery
Prostatitis	source	baidubaike
Chronic conjunctivitis	source	baidubaike
Chronic conjunctivitis	medical college	Ophthalmology Department
Chronic conjunctivitis	source	WikiPedia
Chronic conjunctivitis	source	medicalbaike
Chronic conjunctivitis	belongTo	disease
Chronic conjunctivitis	source	hudongbaike
Yang floating fever	belongTo	disease
Yang floating fever	source	baidubaike
Supraventricular rate	source	hudongbaike
Supraventricular rate	belongTo	disease
Supraventricular rate	medical college	Internal Medicine-Cardiovascular Department
Supraventricular rate	source	baidubaike
Supraventricular rate	medical college	Internal medicine
Supraventricular rate	source	WikiPedia
Supraventricular rate	name	Supraventricular tachycardia
Supraventricular rate	source	medicalbaike
Endocrine disorders	medical college	Endocrine Department
Endocrine disorders	belongTo	disease
Endocrine disorders	source	baidubaike
Manganese poisoning	source	baidubaike
Manganese poisoning	belongTo	disease
Manganese poisoning	medical college	Emergency Department
Cardiovascular disease	medical college	Internal medicine
Cardiovascular disease	source	baidubaike
Cardiovascular disease	belongTo	disease
Cardiovascular disease	medical college	Internal Medicine-Cardiovascular Department
Cardiovascular disease	source	medicalbaike
Cardiovascular disease	source	hudongbaike
Cardiovascular disease	source	WikiPedia
congenital toxoplasmosis 	source	hudongbaike
congenital toxoplasmosis 	source	baidubaike
congenital toxoplasmosis 	name	Toxoplasmosis
congenital toxoplasmosis 	belongTo	disease
congenital toxoplasmosis 	source	medicalbaike
congenital toxoplasmosis 	medical college	Obstetrics and Gynecology Department
congenital toxoplasmosis 	source	WikiPedia
congenital toxoplasmosis 	medical college	Infectious Disease Department
Biliary cirrhosis	belongTo	symptom
Biliary cirrhosis	source	baidubaike
Biliary cirrhosis	belongTo	disease
Hormone dependent dermatitis	belongTo	disease
Hormone dependent dermatitis	source	baidubaike
Hormone dependent dermatitis	medical college	The skin Department
Sensorineural deafness	belongTo	disease
Sensorineural deafness	source	baidubaike
Acute glomerulonephritis	belongTo	disease
Acute glomerulonephritis	medical college	Nephrology
Acute glomerulonephritis	source	baidubaike
Sinus tract	belongTo	disease
Sinus tract	source	WikiPedia
Sinus tract	source	hudongbaike
Sinus tract	source	baidubaike
Sinus tract	source	medicalbaike
Sinus tract	medical college	General surgery
Splenic cyst	medical college	Internal medicine
Splenic cyst	source	baidubaike
Splenic cyst	belongTo	disease
Primary tuberculosis	belongTo	disease
Primary tuberculosis	source	baidubaike
Primary tuberculosis	source	hudongbaike
Primary tuberculosis	source	WikiPedia
Primary tuberculosis	source	medicalbaike
Pseudomonas	source	baidubaike
Pseudomonas	medical college	Internal medicine
Pseudomonas	belongTo	disease
Complete atrioventricular block	medical college	Internal Medicine-Cardiovascular Department
Complete atrioventricular block	source	baidubaike
Complete atrioventricular block	belongTo	disease
Pseudopancreatic cyst	source	hudongbaike
Pseudopancreatic cyst	source	WikiPedia
Pseudopancreatic cyst	medical college	Surgery
Pseudopancreatic cyst	belongTo	disease
Pseudopancreatic cyst	medical college	Internal medicine
Pseudopancreatic cyst	source	medicalbaike
Pseudopancreatic cyst	source	baidubaike
Protein malnutrition	source	baidubaike
Protein malnutrition	belongTo	disease
Protein malnutrition	medical college	The skin Department
Anterior scalenus syndrome	belongTo	disease
Anterior scalenus syndrome	source	baidubaike
Nephrotic syndrome	belongTo	disease
Nephrotic syndrome	multiple people	children
Nephrotic syndrome	source	baidubaike
Nephrotic syndrome	clinic department	Internal medicine
Nephrotic syndrome	belongTo	symptom
Nephrotic syndrome	clinic department	Nephrology
Pineal tumor	belongTo	disease
Pineal tumor	medical college	oncology department
Pineal tumor	source	baidubaike
Alcoholic liver test	source	baidubaike
Alcoholic liver test	belongTo	disease
Alcoholic liver test	source	medicalbaike
Alcoholic liver test	source	WikiPedia
Alcoholic liver test	medical college	Internal medicine
Alcoholic liver test	source	hudongbaike
Senile osteoporosis	medical college	orthopedics
Senile osteoporosis	belongTo	disease
Senile osteoporosis	source	baidubaike
Torsion of greater omentum	source	hudongbaike
Torsion of greater omentum	source	medicalbaike
Torsion of greater omentum	source	WikiPedia
