头实体	关系	尾实体
复合性牙周炎	来源	互动百科
复合性牙周炎	属于	疾病
复合性牙周炎	来源	医学百科
复合性牙周炎	来源	中文维基百科
禽白痢	来源	中文维基百科
禽白痢	来源	医学百科
禽白痢	属于	疾病
禽白痢	来源	互动百科
先天性高位肩胛	医学专科	外科
先天性高位肩胛	来源	互动百科
先天性高位肩胛	来源	医学百科
先天性高位肩胛	来源	中文维基百科
先天性高位肩胛	属于	疾病
落葵叶点霉紫斑病	来源	中文维基百科
落葵叶点霉紫斑病	属于	疾病
落葵叶点霉紫斑病	来源	互动百科
落葵叶点霉紫斑病	来源	医学百科
血小板疾病	属于	疾病
血小板疾病	来源	中文维基百科
血小板疾病	来源	医学百科
血小板疾病	来源	互动百科
胆红素脑病	属于	疾病
胆红素脑病	来源	互动百科
胆红素脑病	来源	中文维基百科
胆红素脑病	来源	医学百科
高乳酸血症	来源	中文维基百科
高乳酸血症	来源	互动百科
高乳酸血症	属于	疾病
高乳酸血症	来源	医学百科
过早搏动	来源	中文维基百科
过早搏动	来源	互动百科
过早搏动	属于	疾病
过早搏动	来源	医学百科
过早搏动	医学专科	内科
宫寒的症状	来源	互动百科
宫寒的症状	医学专科	妇产科
宫寒的症状	属于	疾病
宫寒的症状	来源	医学百科
宫寒的症状	来源	中文维基百科
纤维囊性乳腺病	属于	疾病
纤维囊性乳腺病	来源	医学百科
纤维囊性乳腺病	来源	互动百科
纤维囊性乳腺病	来源	中文维基百科
纤维囊性乳腺病	医学专科	外科
毒血症型急性放射病	来源	医学百科
毒血症型急性放射病	来源	中文维基百科
毒血症型急性放射病	属于	疾病
毒血症型急性放射病	来源	互动百科
淋克净组合	来源	医学百科
淋克净组合	来源	中文维基百科
淋克净组合	属于	疾病
淋克净组合	来源	互动百科
创伤窒息综合征	来源	医学百科
创伤窒息综合征	来源	中文维基百科
创伤窒息综合征	属于	疾病
创伤窒息综合征	医学专科	急诊科
创伤窒息综合征	来源	互动百科
气管先天性疾病	来源	互动百科
气管先天性疾病	医学专科	内科
气管先天性疾病	属于	疾病
气管先天性疾病	来源	医学百科
气管先天性疾病	来源	中文维基百科
蛇斑疮	来源	互动百科
蛇斑疮	来源	中文维基百科
蛇斑疮	属于	疾病
蛇斑疮	来源	医学百科
慢性单纯型支气管炎	来源	中文维基百科
慢性单纯型支气管炎	来源	医学百科
慢性单纯型支气管炎	来源	互动百科
慢性单纯型支气管炎	属于	疾病
蔬菜恐惧症	来源	中文维基百科
蔬菜恐惧症	来源	互动百科
蔬菜恐惧症	来源	医学百科
蔬菜恐惧症	属于	疾病
狒狒综合征	属于	疾病
狒狒综合征	来源	互动百科
狒狒综合征	来源	医学百科
狒狒综合征	来源	中文维基百科
狒狒综合征	医学专科	皮肤性病科
骨疽	医学专科	外科
骨疽	来源	医学百科
骨疽	来源	互动百科
骨疽	属于	疾病
骨疽	来源	中文维基百科
性取向强迫症	来源	医学百科
性取向强迫症	来源	互动百科
性取向强迫症	来源	中文维基百科
性取向强迫症	属于	疾病
半身型白癜风	来源	互动百科
半身型白癜风	来源	医学百科
半身型白癜风	属于	疾病
半身型白癜风	来源	中文维基百科
干燥症	来源	医学百科
干燥症	来源	中文维基百科
干燥症	医学专科	外科
干燥症	来源	互动百科
干燥症	属于	疾病
甲状腺腺瘤	来源	互动百科
甲状腺腺瘤	医学专科	外科
甲状腺腺瘤	属于	疾病
甲状腺腺瘤	来源	中文维基百科
甲状腺腺瘤	来源	医学百科
急性播散性脊髓炎	来源	医学百科
急性播散性脊髓炎	属于	疾病
急性播散性脊髓炎	来源	互动百科
急性播散性脊髓炎	来源	中文维基百科
绒毛管状腺瘤	来源	医学百科
绒毛管状腺瘤	来源	互动百科
绒毛管状腺瘤	来源	中文维基百科
绒毛管状腺瘤	医学专科	肿瘤科
绒毛管状腺瘤	属于	疾病
原发性臂丛神经病	来源	互动百科
原发性臂丛神经病	属于	疾病
原发性臂丛神经病	来源	医学百科
原发性臂丛神经病	来源	中文维基百科
腹型偏头痛综合征	来源	互动百科
腹型偏头痛综合征	属于	疾病
腹型偏头痛综合征	来源	医学百科
腹型偏头痛综合征	医学专科	内科
腹型偏头痛综合征	来源	中文维基百科
微信阅读依赖症	属于	疾病
微信阅读依赖症	来源	中文维基百科
微信阅读依赖症	来源	互动百科
微信阅读依赖症	来源	医学百科
暑温病	来源	医学百科
暑温病	来源	互动百科
暑温病	属于	疾病
暑温病	来源	中文维基百科
补体成份8缺乏症	医学专科	内科
补体成份8缺乏症	来源	互动百科
补体成份8缺乏症	来源	中文维基百科
补体成份8缺乏症	属于	疾病
补体成份8缺乏症	来源	医学百科
死亡恐怖症	来源	中文维基百科
死亡恐怖症	来源	互动百科
死亡恐怖症	来源	医学百科
死亡恐怖症	属于	疾病
动脉栓塞	来源	互动百科
动脉栓塞	来源	中文维基百科
动脉栓塞	医学专科	内科
动脉栓塞	来源	医学百科
动脉栓塞	属于	疾病
睫状环阻滞性青光眼	属于	疾病
睫状环阻滞性青光眼	来源	互动百科
睫状环阻滞性青光眼	来源	医学百科
睫状环阻滞性青光眼	来源	中文维基百科
伴肿瘤的高钙血症	属于	疾病
伴肿瘤的高钙血症	来源	中文维基百科
伴肿瘤的高钙血症	来源	互动百科
伴肿瘤的高钙血症	来源	医学百科
伴肿瘤的高钙血症	医学专科	肿瘤科
钡及其化合物中毒	来源	中文维基百科
钡及其化合物中毒	属于	疾病
钡及其化合物中毒	来源	互动百科
钡及其化合物中毒	来源	医学百科
细菌性肠炎	来源	互动百科
细菌性肠炎	来源	医学百科
细菌性肠炎	属于	疾病
细菌性肠炎	医学专科	内科
细菌性肠炎	来源	中文维基百科
外阴天疱疮	来源	医学百科
外阴天疱疮	来源	中文维基百科
外阴天疱疮	属于	疾病
外阴天疱疮	来源	互动百科
外阴天疱疮	医学专科	妇产科
网膜囊肿	医学专科	外科
网膜囊肿	来源	互动百科
网膜囊肿	来源	医学百科
网膜囊肿	属于	疾病
网膜囊肿	来源	中文维基百科
面部脓皮病	来源	中文维基百科
面部脓皮病	来源	医学百科
面部脓皮病	医学专科	中医科
面部脓皮病	来源	互动百科
面部脓皮病	属于	疾病
蜂王综合症	来源	医学百科
蜂王综合症	来源	互动百科
蜂王综合症	属于	疾病
蜂王综合症	来源	中文维基百科
晶体性关节炎	来源	医学百科
晶体性关节炎	属于	疾病
晶体性关节炎	医学专科	外科
晶体性关节炎	来源	互动百科
晶体性关节炎	来源	中文维基百科
急性视网膜色素上皮炎	来源	医学百科
急性视网膜色素上皮炎	来源	中文维基百科
急性视网膜色素上皮炎	属于	疾病
急性视网膜色素上皮炎	来源	互动百科
全身性念珠菌病	来源	互动百科
全身性念珠菌病	来源	中文维基百科
全身性念珠菌病	名称	念珠菌病
全身性念珠菌病	来源	医学百科
全身性念珠菌病	属于	疾病
全身性念珠菌病	医学专科	传染科
全身性念珠菌病	常见病因	念珠菌
牙齿神经痛	医学专科	耳鼻喉科
牙齿神经痛	属于	疾病
牙齿神经痛	来源	医学百科
牙齿神经痛	来源	互动百科
牙齿神经痛	来源	中文维基百科
非典型抑郁症	来源	中文维基百科
非典型抑郁症	来源	医学百科
非典型抑郁症	来源	互动百科
非典型抑郁症	属于	疾病
狼疮肾	属于	疾病
狼疮肾	来源	互动百科
狼疮肾	医学专科	内科
狼疮肾	来源	中文维基百科
狼疮肾	来源	医学百科
牛毛滴虫病	来源	互动百科
牛毛滴虫病	来源	医学百科
牛毛滴虫病	属于	疾病
牛毛滴虫病	来源	中文维基百科
宫颈囊肿症	来源	医学百科
宫颈囊肿症	属于	疾病
宫颈囊肿症	来源	互动百科
宫颈囊肿症	来源	中文维基百科
唇疮	属于	疾病
唇疮	来源	互动百科
唇疮	来源	医学百科
唇疮	来源	中文维基百科
实验性精神病	属于	疾病
实验性精神病	来源	医学百科
实验性精神病	来源	中文维基百科
实验性精神病	来源	互动百科
暴发性肝炎	来源	互动百科
暴发性肝炎	属于	疾病
暴发性肝炎	来源	中文维基百科
暴发性肝炎	来源	医学百科
慢性颈淋巴结炎	来源	互动百科
慢性颈淋巴结炎	来源	中文维基百科
慢性颈淋巴结炎	医学专科	内科
慢性颈淋巴结炎	属于	疾病
慢性颈淋巴结炎	来源	医学百科
遇事烦躁症	属于	疾病
遇事烦躁症	来源	医学百科
遇事烦躁症	来源	中文维基百科
遇事烦躁症	来源	互动百科
急性风湿病	来源	中文维基百科
急性风湿病	来源	医学百科
急性风湿病	来源	互动百科
急性风湿病	属于	疾病
哮喘[医学疾病]	来源	互动百科
哮喘[医学疾病]	属于	疾病
哮喘[医学疾病]	来源	中文维基百科
哮喘[医学疾病]	来源	医学百科
心手综合征	来源	医学百科
心手综合征	来源	互动百科
心手综合征	来源	中文维基百科
心手综合征	医学专科	内科
心手综合征	属于	疾病
放射性心包炎	来源	中文维基百科
放射性心包炎	医学专科	内科
放射性心包炎	来源	互动百科
放射性心包炎	来源	医学百科
放射性心包炎	属于	疾病
血小板增高症	属于	疾病
血小板增高症	来源	中文维基百科
血小板增高症	来源	医学百科
血小板增高症	来源	互动百科
卵巢混合性生殖细胞-	医学专科	妇产科
卵巢混合性生殖细胞-	来源	中文维基百科
卵巢混合性生殖细胞-	属于	疾病
卵巢混合性生殖细胞-	来源	互动百科
卵巢混合性生殖细胞-	来源	医学百科
慢性腹膜炎	来源	中文维基百科
慢性腹膜炎	来源	互动百科
慢性腹膜炎	属于	疾病
慢性腹膜炎	来源	医学百科
热情恐惧症	来源	中文维基百科
热情恐惧症	来源	医学百科
热情恐惧症	来源	互动百科
热情恐惧症	属于	疾病
妊娠性心肌梗死	属于	疾病
妊娠性心肌梗死	来源	医学百科
妊娠性心肌梗死	来源	互动百科
妊娠性心肌梗死	医学专科	内科
妊娠性心肌梗死	来源	中文维基百科
鸭大肝病	来源	互动百科
鸭大肝病	属于	疾病
鸭大肝病	来源	医学百科
鸭大肝病	来源	中文维基百科
婴儿营养感染性贫血	属于	疾病
婴儿营养感染性贫血	来源	中文维基百科
婴儿营养感染性贫血	来源	互动百科
婴儿营养感染性贫血	来源	医学百科
蛋鸡衣原体病	来源	互动百科
蛋鸡衣原体病	属于	疾病
蛋鸡衣原体病	来源	医学百科
蛋鸡衣原体病	来源	中文维基百科
家禽念珠菌病	属于	疾病
家禽念珠菌病	来源	互动百科
家禽念珠菌病	来源	医学百科
家禽念珠菌病	来源	中文维基百科
猫口炎	来源	医学百科
猫口炎	来源	互动百科
猫口炎	来源	中文维基百科
猫口炎	属于	疾病
猪咽喉炎	属于	疾病
猪咽喉炎	来源	中文维基百科
猪咽喉炎	来源	医学百科
猪咽喉炎	来源	互动百科
高血压性肾病	属于	疾病
高血压性肾病	来源	中文维基百科
高血压性肾病	常见病因	原发性高血压
高血压性肾病	来源	医学百科
高血压性肾病	来源	互动百科
疝病	来源	互动百科
疝病	来源	中文维基百科
疝病	属于	疾病
疝病	来源	医学百科
十二指肠静脉曲张	医学专科	内科
十二指肠静脉曲张	来源	中文维基百科
十二指肠静脉曲张	属于	疾病
十二指肠静脉曲张	来源	医学百科
十二指肠静脉曲张	来源	互动百科
牙感觉过敏症	来源	中文维基百科
牙感觉过敏症	属于	疾病
牙感觉过敏症	来源	医学百科
牙感觉过敏症	来源	互动百科
莱姆症	来源	中文维基百科
莱姆症	来源	医学百科
莱姆症	属于	疾病
莱姆症	来源	互动百科
谷氨酸单钠症候群	属于	疾病
谷氨酸单钠症候群	来源	医学百科
谷氨酸单钠症候群	来源	互动百科
谷氨酸单钠症候群	来源	中文维基百科
疖疮	来源	互动百科
疖疮	来源	医学百科
疖疮	来源	中文维基百科
疖疮	属于	疾病
胃空肠输入袢综合征	属于	疾病
胃空肠输入袢综合征	医学专科	内科
胃空肠输入袢综合征	来源	中文维基百科
胃空肠输入袢综合征	来源	互动百科
胃空肠输入袢综合征	来源	医学百科
老年期谵妄	来源	中文维基百科
老年期谵妄	属于	疾病
老年期谵妄	来源	互动百科
老年期谵妄	来源	医学百科
膝关节侧副韧带损伤	来源	互动百科
膝关节侧副韧带损伤	属于	疾病
膝关节侧副韧带损伤	来源	中文维基百科
膝关节侧副韧带损伤	来源	医学百科
儿童腹痛	来源	中文维基百科
儿童腹痛	属于	疾病
儿童腹痛	来源	医学百科
儿童腹痛	医学专科	儿科
儿童腹痛	来源	互动百科
溶血	来源	互动百科
溶血	医学专科	内科
溶血	属于	疾病
溶血	来源	中文维基百科
溶血	来源	医学百科
儿童胰腺功能不全并中	来源	中文维基百科
儿童胰腺功能不全并中	来源	医学百科
儿童胰腺功能不全并中	医学专科	内科
儿童胰腺功能不全并中	来源	互动百科
儿童胰腺功能不全并中	属于	疾病
特异性肾实质疾病	来源	互动百科
特异性肾实质疾病	来源	医学百科
特异性肾实质疾病	属于	疾病
特异性肾实质疾病	医学专科	内科
特异性肾实质疾病	来源	中文维基百科
莱姆病性巩膜炎	来源	互动百科
莱姆病性巩膜炎	来源	医学百科
莱姆病性巩膜炎	来源	中文维基百科
莱姆病性巩膜炎	属于	疾病
看牙恐惧症	来源	互动百科
看牙恐惧症	来源	医学百科
看牙恐惧症	属于	疾病
看牙恐惧症	来源	中文维基百科
猪魏氏梭菌病	来源	中文维基百科
猪魏氏梭菌病	来源	医学百科
猪魏氏梭菌病	属于	疾病
猪魏氏梭菌病	来源	互动百科
精囊异常	来源	中文维基百科
精囊异常	属于	疾病
精囊异常	来源	医学百科
精囊异常	来源	互动百科
水疱性口炎	来源	互动百科
水疱性口炎	病原类型	水疱性口炎病毒
水疱性口炎	属于	疾病
水疱性口炎	来源	中文维基百科
水疱性口炎	来源	医学百科
乙酰胆碱性荨麻疹	来源	中文维基百科
乙酰胆碱性荨麻疹	属于	疾病
乙酰胆碱性荨麻疹	来源	医学百科
乙酰胆碱性荨麻疹	医学专科	皮肤性病科
乙酰胆碱性荨麻疹	来源	互动百科
边缘龈	来源	医学百科
边缘龈	来源	互动百科
边缘龈	属于	疾病
边缘龈	来源	中文维基百科
游戏成瘾	来源	中文维基百科
游戏成瘾	来源	医学百科
游戏成瘾	属于	疾病
游戏成瘾	来源	互动百科
视力模糊	来源	互动百科
视力模糊	属于	疾病
视力模糊	来源	医学百科
视力模糊	来源	中文维基百科
球虫病	来源	互动百科
球虫病	来源	中文维基百科
球虫病	来源	医学百科
球虫病	属于	疾病
无症状冠心病	医学专科	内科
无症状冠心病	属于	疾病
无症状冠心病	来源	医学百科
无症状冠心病	来源	互动百科
无症状冠心病	来源	中文维基百科
肝占位	来源	中文维基百科
肝占位	来源	医学百科
肝占位	来源	互动百科
肝占位	属于	疾病
桃花癣	属于	疾病
桃花癣	来源	互动百科
桃花癣	来源	医学百科
桃花癣	来源	中文维基百科
桃花癣	医学专科	皮肤性病科
囊性肺纤维化	来源	中文维基百科
囊性肺纤维化	来源	医学百科
囊性肺纤维化	来源	互动百科
囊性肺纤维化	医学专科	内科
囊性肺纤维化	属于	疾病
周三综合症	来源	互动百科
周三综合症	属于	疾病
周三综合症	来源	中文维基百科
周三综合症	来源	医学百科
腹股沟疝气	属于	疾病
腹股沟疝气	来源	医学百科
腹股沟疝气	来源	中文维基百科
腹股沟疝气	来源	互动百科
腹股沟疝气	医学专科	外科
焦虑远离症	来源	中文维基百科
焦虑远离症	属于	疾病
焦虑远离症	来源	医学百科
焦虑远离症	来源	互动百科
变蒸	来源	医学百科
变蒸	名称	小儿变蒸
变蒸	医学专科	儿科
变蒸	来源	中文维基百科
变蒸	属于	疾病
变蒸	来源	互动百科
晕痣型白癜风	来源	医学百科
晕痣型白癜风	来源	互动百科
晕痣型白癜风	来源	中文维基百科
晕痣型白癜风	属于	疾病
晕痣型白癜风	医学专科	皮肤性病科
运动神经元疾病	属于	疾病
运动神经元疾病	来源	互动百科
运动神经元疾病	医学专科	神经内科
运动神经元疾病	来源	医学百科
运动神经元疾病	来源	中文维基百科
白塞综合征	来源	中文维基百科
白塞综合征	来源	医学百科
白塞综合征	医学专科	皮肤性病科
白塞综合征	名称	贝赫切特综合征
白塞综合征	属于	疾病
白塞综合征	来源	互动百科
妊娠便秘	来源	中文维基百科
妊娠便秘	来源	互动百科
妊娠便秘	属于	疾病
妊娠便秘	来源	医学百科
红血丝症	属于	疾病
红血丝症	来源	中文维基百科
红血丝症	来源	互动百科
红血丝症	来源	医学百科
急性炎症	来源	医学百科
急性炎症	来源	中文维基百科
急性炎症	来源	互动百科
急性炎症	医学专科	内科
急性炎症	属于	疾病
婚前综合症	属于	疾病
婚前综合症	来源	中文维基百科
婚前综合症	来源	医学百科
婚前综合症	来源	互动百科
细菌性心包炎	来源	互动百科
细菌性心包炎	来源	医学百科
细菌性心包炎	属于	疾病
细菌性心包炎	医学专科	内科
细菌性心包炎	来源	中文维基百科
睑缘炎	来源	互动百科
睑缘炎	来源	中文维基百科
睑缘炎	属于	疾病
睑缘炎	来源	医学百科
生物毒性肾病	来源	医学百科
生物毒性肾病	属于	疾病
生物毒性肾病	来源	互动百科
生物毒性肾病	来源	中文维基百科
髓系肉瘤	来源	中文维基百科
髓系肉瘤	来源	医学百科
髓系肉瘤	医学专科	内科
髓系肉瘤	来源	互动百科
髓系肉瘤	属于	疾病
小脑萎缩症	来源	医学百科
小脑萎缩症	来源	互动百科
小脑萎缩症	来源	中文维基百科
小脑萎缩症	医学专科	内科
小脑萎缩症	属于	疾病
真红增多症	来源	互动百科
真红增多症	来源	医学百科
真红增多症	来源	中文维基百科
真红增多症	属于	疾病
节日恐惧症	来源	互动百科
节日恐惧症	属于	疾病
节日恐惧症	来源	中文维基百科
节日恐惧症	来源	医学百科
腕关节腱鞘炎	医学专科	外科
腕关节腱鞘炎	来源	医学百科
腕关节腱鞘炎	来源	中文维基百科
腕关节腱鞘炎	来源	互动百科
腕关节腱鞘炎	属于	疾病
微笑型抑郁症	来源	医学百科
微笑型抑郁症	来源	中文维基百科
微笑型抑郁症	属于	疾病
微笑型抑郁症	来源	互动百科
阴道排气	属于	疾病
阴道排气	来源	中文维基百科
阴道排气	来源	互动百科
阴道排气	来源	医学百科
茄子斑枯病	属于	疾病
茄子斑枯病	病原类型	真菌
茄子斑枯病	来源	医学百科
茄子斑枯病	来源	中文维基百科
茄子斑枯病	来源	互动百科
贾第鞭毛虫病	来源	互动百科
贾第鞭毛虫病	来源	医学百科
贾第鞭毛虫病	来源	中文维基百科
贾第鞭毛虫病	属于	疾病
冠状动脉粥样硬化症	属于	疾病
冠状动脉粥样硬化症	来源	中文维基百科
冠状动脉粥样硬化症	来源	医学百科
冠状动脉粥样硬化症	来源	互动百科
局限性外耳道炎	属于	疾病
局限性外耳道炎	来源	医学百科
局限性外耳道炎	来源	中文维基百科
局限性外耳道炎	来源	互动百科
局限性外耳道炎	医学专科	耳鼻喉科
肌肉萎缩性侧索硬化症	来源	互动百科
肌肉萎缩性侧索硬化症	名称	肌萎缩侧索硬化
肌肉萎缩性侧索硬化症	医学专科	皮肤性病科
肌肉萎缩性侧索硬化症	属于	疾病
肌肉萎缩性侧索硬化症	来源	医学百科
肌肉萎缩性侧索硬化症	来源	中文维基百科
春天综合症	来源	医学百科
春天综合症	属于	疾病
春天综合症	来源	互动百科
春天综合症	来源	中文维基百科
毛圆线虫病	来源	医学百科
毛圆线虫病	来源	互动百科
毛圆线虫病	来源	中文维基百科
毛圆线虫病	医学专科	传染科
毛圆线虫病	属于	疾病
中枢性睡眠呼吸暂停	来源	互动百科
中枢性睡眠呼吸暂停	医学专科	内科
中枢性睡眠呼吸暂停	来源	医学百科
中枢性睡眠呼吸暂停	属于	疾病
中枢性睡眠呼吸暂停	来源	中文维基百科
念珠菌性间擦症	来源	医学百科
念珠菌性间擦症	来源	互动百科
念珠菌性间擦症	来源	中文维基百科
念珠菌性间擦症	属于	疾病
中枢性睡眠呼吸中止症	来源	互动百科
中枢性睡眠呼吸中止症	来源	医学百科
中枢性睡眠呼吸中止症	属于	疾病
中枢性睡眠呼吸中止症	来源	中文维基百科
传染性法氏囊病	来源	互动百科
传染性法氏囊病	属于	疾病
传染性法氏囊病	来源	医学百科
传染性法氏囊病	来源	中文维基百科
草莓状血管瘤	来源	中文维基百科
草莓状血管瘤	属于	疾病
草莓状血管瘤	医学专科	肿瘤科
草莓状血管瘤	来源	互动百科
草莓状血管瘤	名称	血管瘤
草莓状血管瘤	来源	医学百科
压力强迫症	来源	中文维基百科
压力强迫症	来源	互动百科
压力强迫症	来源	医学百科
压力强迫症	属于	疾病
牛瘟	来源	医学百科
牛瘟	来源	中文维基百科
牛瘟	属于	疾病
牛瘟	来源	互动百科
病痘疮副银屑病	来源	互动百科
病痘疮副银屑病	来源	中文维基百科
病痘疮副银屑病	来源	医学百科
病痘疮副银屑病	属于	疾病
口腔粘膜扁平苔藓	属于	疾病
口腔粘膜扁平苔藓	来源	医学百科
口腔粘膜扁平苔藓	来源	中文维基百科
口腔粘膜扁平苔藓	来源	互动百科
腰骶部劳损	属于	疾病
腰骶部劳损	医学专科	外科
腰骶部劳损	来源	互动百科
腰骶部劳损	来源	中文维基百科
腰骶部劳损	来源	医学百科
面部脂溢性皮炎	来源	医学百科
面部脂溢性皮炎	医学专科	皮肤性病科
面部脂溢性皮炎	来源	中文维基百科
面部脂溢性皮炎	来源	互动百科
面部脂溢性皮炎	临床表现	丘疹
面部脂溢性皮炎	属于	疾病
胆碱性寻麻疹	来源	互动百科
胆碱性寻麻疹	来源	医学百科
胆碱性寻麻疹	属于	疾病
胆碱性寻麻疹	来源	中文维基百科
远伤病	来源	互动百科
远伤病	来源	中文维基百科
远伤病	属于	疾病
远伤病	来源	医学百科
猪虱虫病	属于	疾病
猪虱虫病	来源	医学百科
猪虱虫病	来源	互动百科
猪虱虫病	来源	中文维基百科
多囊性卵巢囊肿	来源	中文维基百科
多囊性卵巢囊肿	医学专科	妇产科
多囊性卵巢囊肿	来源	互动百科
多囊性卵巢囊肿	来源	医学百科
多囊性卵巢囊肿	属于	疾病
闭合性跌打损伤	属于	疾病
闭合性跌打损伤	医学专科	外科
闭合性跌打损伤	来源	中文维基百科
闭合性跌打损伤	来源	互动百科
闭合性跌打损伤	来源	医学百科
联合免疫缺陷	来源	医学百科
联合免疫缺陷	来源	互动百科
联合免疫缺陷	来源	中文维基百科
联合免疫缺陷	属于	疾病
先天性耳前瘘	来源	中文维基百科
先天性耳前瘘	属于	疾病
先天性耳前瘘	来源	互动百科
先天性耳前瘘	来源	医学百科
睡眠相位后移综合症	来源	中文维基百科
睡眠相位后移综合症	来源	互动百科
睡眠相位后移综合症	来源	医学百科
睡眠相位后移综合症	属于	疾病
感应性精神病	来源	医学百科
感应性精神病	来源	中文维基百科
感应性精神病	来源	互动百科
感应性精神病	属于	疾病
职业性变态反应性肺泡	医学专科	内科
职业性变态反应性肺泡	来源	医学百科
职业性变态反应性肺泡	属于	疾病
职业性变态反应性肺泡	来源	互动百科
职业性变态反应性肺泡	来源	中文维基百科
急性粒细胞白血病	属于	疾病
急性粒细胞白血病	来源	医学百科
急性粒细胞白血病	来源	互动百科
急性粒细胞白血病	来源	中文维基百科
胆石性肠绞塞综合征	属于	疾病
胆石性肠绞塞综合征	来源	中文维基百科
胆石性肠绞塞综合征	来源	医学百科
胆石性肠绞塞综合征	来源	互动百科
胆石性肠绞塞综合征	医学专科	内科
马铃薯花叶病	来源	医学百科
马铃薯花叶病	来源	互动百科
马铃薯花叶病	来源	中文维基百科
马铃薯花叶病	属于	疾病
获得性血友病	来源	互动百科
获得性血友病	来源	医学百科
获得性血友病	属于	疾病
获得性血友病	来源	中文维基百科
获得性血友病	医学专科	内科
肺上沟癌	发病部位	肺部
肺上沟癌	属于	疾病
肺上沟癌	来源	医学百科
肺上沟癌	来源	中文维基百科
肺上沟癌	来源	互动百科
B19微小病毒	医学专科	传染科
B19微小病毒	来源	中文维基百科
B19微小病毒	来源	互动百科
B19微小病毒	属于	疾病
B19微小病毒	来源	医学百科
网络成瘾症	来源	互动百科
网络成瘾症	来源	医学百科
网络成瘾症	来源	中文维基百科
网络成瘾症	属于	疾病
产后便血	医学专科	妇产科
产后便血	来源	中文维基百科
产后便血	来源	互动百科
产后便血	属于	疾病
产后便血	来源	医学百科
疏散性跖部汗孔角化症	来源	医学百科
疏散性跖部汗孔角化症	来源	中文维基百科
疏散性跖部汗孔角化症	属于	疾病
疏散性跖部汗孔角化症	来源	互动百科
雅皮士病	来源	互动百科
雅皮士病	来源	中文维基百科
雅皮士病	来源	医学百科
雅皮士病	属于	疾病
老年人甲亢性心脏病	属于	疾病
老年人甲亢性心脏病	来源	互动百科
老年人甲亢性心脏病	来源	中文维基百科
老年人甲亢性心脏病	来源	医学百科
老年人甲亢性心脏病	名称	甲状腺功能亢进性心脏病
老年人甲亢性心脏病	医学专科	内科
猪流行性乙型脑炎	属于	疾病
猪流行性乙型脑炎	来源	医学百科
猪流行性乙型脑炎	来源	中文维基百科
猪流行性乙型脑炎	来源	互动百科
异动症	来源	互动百科
异动症	来源	中文维基百科
异动症	来源	医学百科
异动症	属于	疾病
全反式维甲酸综合症	来源	互动百科
全反式维甲酸综合症	属于	疾病
全反式维甲酸综合症	来源	中文维基百科
全反式维甲酸综合症	来源	医学百科
壶腹癌	来源	医学百科
壶腹癌	医学专科	肿瘤科
壶腹癌	来源	中文维基百科
壶腹癌	属于	疾病
壶腹癌	来源	互动百科
克丁病	属于	疾病
克丁病	来源	中文维基百科
克丁病	来源	互动百科
克丁病	来源	医学百科
慢型克山病	医学专科	内科
慢型克山病	来源	医学百科
慢型克山病	来源	互动百科
慢型克山病	来源	中文维基百科
慢型克山病	属于	疾病
RH血型不合溶血病	属于	疾病
RH血型不合溶血病	来源	医学百科
RH血型不合溶血病	来源	中文维基百科
RH血型不合溶血病	医学专科	内科
RH血型不合溶血病	来源	互动百科
双腔吸虫病	来源	医学百科
双腔吸虫病	来源	互动百科
双腔吸虫病	来源	中文维基百科
双腔吸虫病	属于	疾病
原发性肺血铁质沉积症	属于	疾病
原发性肺血铁质沉积症	来源	互动百科
原发性肺血铁质沉积症	来源	医学百科
原发性肺血铁质沉积症	来源	中文维基百科
肌肉疾病	来源	互动百科
肌肉疾病	来源	中文维基百科
肌肉疾病	来源	医学百科
肌肉疾病	属于	疾病
肌肉疾病	医学专科	外科
神经衰弱症	属于	疾病
神经衰弱症	来源	医学百科
神经衰弱症	名称	神经衰弱
神经衰弱症	医学专科	内科
神经衰弱症	来源	中文维基百科
神经衰弱症	来源	互动百科
下肢静脉瓣膜关闭不全	医学专科	内科
下肢静脉瓣膜关闭不全	来源	医学百科
下肢静脉瓣膜关闭不全	来源	互动百科
下肢静脉瓣膜关闭不全	来源	中文维基百科
下肢静脉瓣膜关闭不全	属于	疾病
落葵紫斑病	来源	中文维基百科
落葵紫斑病	来源	互动百科
落葵紫斑病	属于	疾病
落葵紫斑病	来源	医学百科
大鞭虫病	来源	中文维基百科
大鞭虫病	来源	互动百科
大鞭虫病	来源	医学百科
大鞭虫病	属于	疾病
窝沟龋	属于	疾病
窝沟龋	来源	互动百科
窝沟龋	来源	中文维基百科
窝沟龋	来源	医学百科
扩心病	来源	中文维基百科
扩心病	医学专科	内科
扩心病	来源	互动百科
扩心病	属于	疾病
扩心病	来源	医学百科
喉咙息肉	名称	咽喉息肉
喉咙息肉	来源	医学百科
喉咙息肉	属于	疾病
喉咙息肉	来源	中文维基百科
喉咙息肉	来源	互动百科
男性乳腺增生	来源	医学百科
男性乳腺增生	来源	中文维基百科
男性乳腺增生	来源	互动百科
男性乳腺增生	属于	疾病
婴幼儿维生素C缺乏症	来源	互动百科
婴幼儿维生素C缺乏症	来源	中文维基百科
婴幼儿维生素C缺乏症	属于	疾病
婴幼儿维生素C缺乏症	来源	医学百科
婴幼儿维生素C缺乏症	医学专科	儿科
棉花花叶病毒病	属于	疾病
